Date,Receipt,Description,Card Member,Account #,Amount
09/06/2024,,Interest Charge on Purchases,CHIRAYUSH AGARWAL,-41002,155.95
09/02/2024,,UPWORK * -730289007 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,210.66
09/01/2024,,FACEBK *4JJ3M6YHA2  MENLO PARK,CHIRAYUSH AGARWAL,-41002,357.23
09/01/2024,,FACEBK *GZSJX7UHA2  MENLO PARK,CHIRAYUSH AGARWAL,-41002,48.30
08/30/2024,,ONLINE PAYMENT - THANK YOU,CHIRAYUSH AGARWAL,-41002,-1500.00
08/30/2024,,PAYPAL *HELPINGAUTH 4029357733          GB,CHIRAYUSH AGARWAL,-41002,25.00
08/30/2024,,TOPPRO SOLUTIONS    MESQUITE            NV,CHIRAYUSH AGARWAL,-41002,48.00
08/30/2024,,WEB*BLUEHOST.COM    888-401-4678        UT,CHIRAYUSH AGARWAL,-41002,155.39
08/29/2024,,UPWORK * -728822676 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,210.66
08/28/2024,,UPWORK * -728624188 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,158.00
08/27/2024,,GETCOVERS.COM       +48791164662        CO,CHIRAYUSH AGARWAL,-41002,10.00
08/26/2024,,FACEBK *5XZJ97CJA2  MENLO PARK,CHIRAYUSH AGARWAL,-41002,900.00
08/26/2024,,UPWORK * -728081796 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,210.66
08/23/2024,,AMAZON SHOP WITH POINTS CREDIT,CHIRAYUSH AGARWAL,-41002,-21.33
08/23/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,21.33
08/23/2024,,FRANCHISEINDX.COM   SHERIDAN            WY,CHIRAYUSH AGARWAL,-41002,79.00
08/20/2024,,UPWORK * -726255231 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,210.66
08/18/2024,,MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,CHIRAYUSH AGARWAL,-41002,10.64
08/17/2024,,FACEBK *UX7W57UHA2  MENLO PARK,CHIRAYUSH AGARWAL,-41002,900.00
08/17/2024,,ONLINE PAYMENT - THANK YOU,CHIRAYUSH AGARWAL,-41002,-500.00
08/16/2024,,CTOX LLC            ROSWELL             GA,CHIRAYUSH AGARWAL,-41002,500.00
08/14/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,14.06
08/14/2024,,PAYPAL *BC          7783889245          CA,CHIRAYUSH AGARWAL,-41002,24.00
08/14/2024,,UPWORK * -724370172 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,21.35
08/13/2024,,AMZ*GOODREADS INC RAPAY.AMAZON.CO       WA,CHIRAYUSH AGARWAL,-41002,119.00
08/12/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,16.01
08/12/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,28.34
08/11/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,4.59
08/10/2024,,AMAZON SHOP WITH POINTS CREDIT,CHIRAYUSH AGARWAL,-41002,-22.17
08/10/2024,,AMAZON.COM          AMZN.COM/BILL       WA,CHIRAYUSH AGARWAL,-41002,22.17
08/10/2024,,MIO NONNO           ALLEN               TX,CHIRAYUSH AGARWAL,-41002,44.97
08/10/2024,,UPWORK * -722693734 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,29.49
08/10/2024,,UPWORK * -722694168 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,158.00
08/10/2024,,UPWORK * -722694345 SAN FRANCISCO       CA,CHIRAYUSH AGARWAL,-41002,210.66
